,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
62,Rubén Blanco\967f34d3,es ESP,GK,Celta Vigo,25,1995,19,19,1637,18.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
63,Alejandro Blesa\d2ed99b4,es ESP,MF,Levante,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
64,Yann Bodiger\8c2c48a9,fr FRA,MF,Cádiz,25,1995,9,2,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
65,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,29,1991,33,33,2970,33.0,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,0.3,0.3,0.0,0.4,0.01,0.00,0.01,0.01,0.01,Matches
66,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,24,1996,34,32,2694,29.9,7,2,7,0,0,9,1,0.23,0.07,0.30,0.23,0.30,5.9,5.9,1.0,7.0,0.20,0.03,0.23,0.20,0.23,Matches
67,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,29,1991,29,11,1175,13.1,2,2,2,0,1,3,0,0.15,0.15,0.31,0.15,0.31,5.0,4.2,2.0,6.3,0.38,0.16,0.54,0.32,0.48,Matches
68,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,28,1992,16,9,909,10.1,2,0,2,0,0,4,0,0.20,0.00,0.20,0.20,0.20,1.3,1.3,0.2,1.4,0.12,0.02,0.14,0.12,0.14,Matches
69,Álvaro Bravo\b3f97139,es ESP,MF,Granada,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
70,Claudio Bravo\10072610,cl CHI,GK,Betis,37,1983,20,20,1800,20.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches
71,Yan Brice Eteki\3d688b46,cm CMR,MF,Granada,22,1997,25,16,1321,14.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matches
72,Juan Brunet\c960cfdb,ar ARG,MF,Granada,22,1998,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
73,Bryan\7b5ab7f2,es ESP,MFFW,Eibar,19,2001,28,26,2265,25.2,4,3,4,0,0,6,0,0.16,0.12,0.28,0.16,0.28,4.0,3.6,5.2,8.8,0.16,0.21,0.36,0.14,0.35,Matches
74,Bryan\7b5ab7f2,es ESP,FW,Sevilla,19,2001,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,29,1991,30,18,1625,18.1,11,0,11,0,0,3,0,0.61,0.00,0.61,0.61,0.61,7.1,7.1,0.6,7.7,0.39,0.03,0.43,0.39,0.43,Matches
76,Esteban Burgos\40449bbd,ar ARG,DF,Eibar,28,1992,14,12,1111,12.3,3,1,1,2,3,5,0,0.24,0.08,0.32,0.08,0.16,3.3,1.1,0.1,1.2,0.27,0.01,0.28,0.09,0.10,Matches
77,Burgui\45e304c8,es ESP,MF,Alavés,26,1993,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
78,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,32,1988,36,32,2517,28.0,0,5,0,0,0,9,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,3.6,3.8,0.01,0.13,0.14,0.01,0.14,Matches
79,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,25,1995,20,15,1326,14.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
80,Cala\fe05804b,es ESP,DF,Cádiz,30,1989,28,26,2272,25.2,3,0,3,0,0,8,0,0.12,0.00,0.12,0.12,0.12,1.4,1.4,0.3,1.7,0.06,0.01,0.07,0.06,0.07,Matches
81,Jonathan Calleri\6922f806,ar ARG,FW,Osasuna,26,1993,25,20,1544,17.2,5,2,5,0,0,4,0,0.29,0.12,0.41,0.29,0.41,5.9,5.9,1.3,7.2,0.34,0.08,0.42,0.34,0.42,Matches
82,Dani Calvo\dd672e1f,es ESP,DF,Elche,26,1994,23,19,1779,19.8,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.9,0.9,0.0,0.9,0.05,0.00,0.05,0.05,0.05,Matches
83,José Campaña\61220da2,es ESP,MF,Levante,27,1993,9,8,748,8.3,1,2,0,1,1,0,0,0.12,0.24,0.36,0.00,0.24,1.4,0.7,1.4,2.0,0.17,0.16,0.34,0.08,0.25,Matches
84,Sergio Canales\a6de370d,es ESP,MFFW,Betis,29,1991,31,28,2498,27.8,8,6,6,2,3,4,0,0.29,0.22,0.50,0.22,0.43,5.4,2.9,5.1,8.0,0.19,0.18,0.38,0.11,0.29,Matches
85,Álex Cantero\4aa253fd,es ESP,FW,Levante,20,2000,4,3,237,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,1.1,0.06,0.36,0.43,0.06,0.43,Matches
86,Ander Capa\37f1cf47,es ESP,DF,Athletic Club,28,1992,28,25,2131,23.7,2,1,2,0,0,5,0,0.08,0.04,0.13,0.08,0.13,1.1,1.1,1.6,2.7,0.05,0.07,0.11,0.05,0.11,Matches
87,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,32,1988,16,15,1185,13.2,1,0,1,0,0,5,1,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
88,Isaac Carcelen\c4b888df,es ESP,DF,Cádiz,27,1993,32,31,2581,28.7,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,1.0,1.4,0.01,0.03,0.05,0.01,0.05,Matches
89,Cárdenas\e1846dde,es ESP,GK,Levante,23,1997,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
90,Marc Cardona\b92b456a,es ESP,FWMF,Osasuna,25,1995,3,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.30,0.00,0.30,0.30,0.30,Matches
91,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,27,1993,33,32,2788,31.0,1,0,1,0,0,11,1,0.03,0.00,0.03,0.03,0.03,1.0,1.0,0.6,1.6,0.03,0.02,0.05,0.03,0.05,Matches
92,Juan Carlos\82803509,es ESP,MFFW,Huesca,29,1991,15,3,291,3.2,0,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,0.5,0.5,0.3,0.8,0.14,0.10,0.24,0.14,0.24,Matches
93,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,26,1993,30,25,2179,24.2,6,10,6,0,0,6,0,0.25,0.41,0.66,0.25,0.66,6.0,6.0,5.6,11.6,0.25,0.23,0.48,0.25,0.48,Matches
94,Sergio Carreira\8d6a9c93,es ESP,DF,Celta Vigo,19,2000,3,3,259,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.4,0.4,0.0,0.4,0.13,0.00,0.13,0.13,0.13,Matches
95,Guido Carrillo\8f898ba8,ar ARG,FW,Elche,29,1991,21,11,1002,11.1,3,2,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45,2.7,2.7,1.3,4.0,0.24,0.11,0.36,0.24,0.36,Matches
96,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,28,1992,13,11,950,10.6,0,2,0,0,0,5,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,0.8,1.4,0.05,0.08,0.13,0.05,0.13,Matches
97,William Carvalho\dee86451,pt POR,MF,Betis,28,1992,27,12,1223,13.6,2,0,2,0,0,6,1,0.15,0.00,0.15,0.15,0.15,1.3,1.3,0.5,1.7,0.09,0.03,0.13,0.09,0.13,Matches
98,Casemiro\4d224fe8,br BRA,MF,Real Madrid,28,1992,34,32,2901,32.2,6,4,6,0,0,11,1,0.19,0.12,0.31,0.19,0.31,4.6,4.6,3.6,8.2,0.14,0.11,0.25,0.14,0.25,Matches
99,Sofian Chakla\37f04799,ma MAR,DF,Getafe,26,1993,11,9,897,10.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
100,Sofian Chakla\37f04799,ma MAR,DF,Villarreal,26,1993,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.39,0.00,0.39,0.39,0.39,Matches
101,Chema\7f203b54,es ESP,DFMF,Getafe,28,1992,10,7,557,6.2,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
102,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,29,1990,21,13,1101,12.2,0,3,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,1.5,1.5,2.4,3.9,0.12,0.20,0.32,0.12,0.32,Matches
103,Samuel Chukwueze\b8a642fc,ng NGA,MFFW,Villarreal,21,1999,28,13,1365,15.2,4,2,4,0,0,0,0,0.26,0.13,0.40,0.26,0.40,3.5,3.5,2.6,6.1,0.23,0.17,0.41,0.23,0.41,Matches
104,Víctor Chust\ec1a731e,es ESP,DF,Real Madrid,20,2000,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
105,Cifu\90f83973,es ESP,DF,Elche,29,1990,11,4,451,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
