,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
499,Theo Walcott\1ecb65be,eng ENG,FW,Everton,31,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
500,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,30,1990,21.6,28,1.29,23,4,0,0,1,0,5,0.23,4,1,0,0,0,0,Matches
501,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,23,1997,29.4,42,1.43,33,0,3,1,2,3,7,0.24,4,0,0,0,2,1,Matches
502,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,22,1997,34.0,57,1.68,50,1,2,1,0,3,8,0.24,8,0,0,0,0,0,Matches
503,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,30,1989,25.1,15,0.60,14,1,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
504,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,25,1994,38.0,84,2.21,39,41,0,2,2,0,11,0.29,4,7,0,0,0,0,Matches
505,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,24,1995,37.0,98,2.65,74,0,4,11,5,4,14,0.38,9,0,1,4,0,0,Matches
506,Caleb Watts\c7170b46,au AUS,MFFW,Southampton,18,2002,0.4,1,2.31,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
507,Adam Webster\c40b6180,eng ENG,DF,Brighton,25,1995,28.8,20,0.69,18,0,0,1,1,0,1,0.03,1,0,0,0,0,0,Matches
508,Danny Welbeck\ce5143da,eng ENG,FW,Brighton,29,1990,17.2,50,2.91,34,0,3,7,6,0,5,0.29,2,0,0,1,2,0,Matches
509,Timo Werner\49fe9070,de GER,FW,Chelsea,24,1996,28.9,85,2.94,56,0,6,9,13,1,19,0.66,10,0,3,1,4,1,Matches
510,Ashley Westwood\495945ef,eng ENG,MF,Burnley,30,1990,37.9,84,2.22,59,21,1,0,1,2,5,0.13,3,2,0,0,0,0,Matches
511,Ben White\35e413f1,eng ENG,DFMF,Brighton,22,1997,35.5,26,0.73,22,0,1,0,1,2,3,0.08,3,0,0,0,0,0,Matches
512,Georginio Wijnaldum\eb58eef0,nl NED,MF,Liverpool,29,1990,32.7,53,1.62,46,0,2,2,3,0,2,0.06,1,0,0,1,0,0,Matches
513,Brandon Williams\5e74d6c8,eng ENG,DF,Manchester Utd,19,2000,2.1,1,0.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
514,Neco Williams\dd323728,wls WAL,DF,Liverpool,19,2001,2.8,4,1.45,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
515,Rhys Williams\012c975a,eng ENG,DF,Liverpool,19,2001,7.3,5,0.68,4,0,0,1,0,0,1,0.14,0,0,0,1,0,0,Matches
516,Willian\8b9ebd03,br BRA,FWMF,Arsenal,31,1988,15.6,60,3.84,37,12,2,4,5,0,11,0.70,5,2,0,3,1,0,Matches
517,Joe Willock\a3b03921,eng ENG,MF,Arsenal,20,1999,2.6,7,2.65,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
518,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,20,1999,10.9,27,2.48,17,0,3,3,3,1,3,0.28,1,0,1,1,0,0,Matches
519,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,28,1992,23.2,52,2.25,29,0,5,2,15,1,11,0.48,6,0,0,2,3,0,Matches
520,Harry Winks\2f7acede,eng ENG,MF,Tottenham,24,1996,9.6,8,0.84,6,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
521,Chris Wood\4e9a0555,nz NZL,FW,Burnley,28,1991,30.5,47,1.54,37,0,4,2,2,2,8,0.26,4,0,2,1,1,0,Matches
522,Granit Xhaka\e61b8aee,ch SUI,MFDF,Arsenal,27,1992,28.0,40,1.43,36,0,0,2,2,0,3,0.11,3,0,0,0,0,0,Matches
523,Andriy Yarmolenko\849c826a,ua UKR,FWMF,West Ham,30,1989,4.2,13,3.12,10,1,0,1,1,0,1,0.24,1,0,0,0,0,0,Matches
524,DeAndre Yedlin\ae0a7ddf,us USA,DF,Newcastle Utd,27,1993,4.8,6,1.24,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
525,Okay Yokuşlu\e49ce451,tr TUR,MF,West Brom,26,1994,14.6,11,0.75,7,0,0,1,3,0,2,0.14,1,0,0,1,0,0,Matches
526,Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,27,1992,29.0,85,2.93,48,0,16,5,14,2,12,0.41,8,0,2,1,1,0,Matches
527,Andre-Frank Zambo Anguissa\6bb2c084,cm CMR,MF,Fulham,24,1995,28.7,57,1.98,43,0,8,2,3,1,6,0.21,4,0,2,0,0,0,Matches
528,Andi Zeqiri\d01231f0,ch SUI,FWDF,Brighton,21,1999,1.9,4,2.11,3,0,1,0,0,0,1,0.53,1,0,0,0,0,0,Matches
529,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,23,1996,16.4,30,1.83,23,4,0,1,1,1,2,0.12,2,0,0,0,0,0,Matches
530,Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,27,1993,13.0,70,5.38,53,7,3,6,1,0,7,0.54,6,1,0,0,0,0,Matches
531,Kurt Zouma\ce4246f5,fr FRA,DF,Chelsea,25,1994,22.5,11,0.49,8,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
532,Martin Ødegaard\79300479,no NOR,MF,Arsenal,21,1998,9.6,42,4.36,34,4,1,1,2,0,6,0.62,5,0,0,0,1,0,Matches
