,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
149,Eberechi Eze\ae4fc6a4,eng ENG,MF,Crystal Palace,22,1998,28.4,83,2.92,48,13,10,2,8,2,12,0.42,4,2,4,1,1,0,Matches
150,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,35,1985,35.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Fabinho\7f3b388c,br BRA,DFMF,Liverpool,26,1993,28.5,23,0.81,20,0,0,0,2,1,4,0.14,3,0,0,0,1,0,Matches
152,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,25,1994,34.4,168,4.88,121,22,4,10,8,3,27,0.78,23,2,0,2,0,0,Matches
153,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,31,1989,23.1,11,0.48,9,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Fernandinho\101da2b5,br BRA,MF,Manchester City,35,1985,13.2,29,2.20,21,0,3,0,0,5,3,0.23,2,0,0,0,0,1,Matches
155,Sam Field\bd8a7d05,eng ENG,MF,West Brom,22,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,28,1991,31.5,107,3.39,80,0,12,9,5,1,9,0.29,8,0,0,1,0,0,Matches
157,John Fleck\b63e789d,sct SCO,MF,Sheffield Utd,28,1991,28.6,66,2.31,46,13,3,2,1,1,3,0.10,2,1,0,0,0,0,Matches
158,Phil Foden\ed1e53f3,eng ENG,FWMF,Manchester City,20,2000,18.0,67,3.73,43,8,9,4,2,1,14,0.78,9,0,1,3,1,0,Matches
159,Wesley Fofana\132a82f1,fr FRA,DF,Leicester City,19,2000,25.1,18,0.72,14,0,0,1,2,1,1,0.04,0,0,0,0,1,0,Matches
160,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,24,1996,28.6,71,2.48,59,1,1,5,4,1,12,0.42,7,1,0,3,1,0,Matches
161,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,32,1988,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Manchester Utd,22,1998,0.9,4,4.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
